samples	Habitat	Latitude	Longitude	site	Date	Depth (m)	amount_filtered_L
EPM_12A1	Mangrove	7.618822	-81.758797	Canal_de_Afuera	2017-10-08		
EPM_12A2	Mangrove	7.619011	-81.759288	Granito_de_Oro	2017-10-08		
EPM_12A3	Mangrove	7.619908	-81.760965	Uva	2017-10-09		
EPM_12A4	Mangrove	7.620643	-81.766157	Uva	2017-10-09		
EPM_13A1	Mangrove	7.466203	-81.732981	Secas	2017-10-10		
EPM_13A2	Mangrove	7.466131	-81.733042	Granito_de_Oro	2017-10-10		
EPM_13A3	Mangrove	7.465868	-81.726241	Coiba_Bahia_Damas	2017-10-11		
EPM_13A4	Mangrove	7.462678	-81.722228	Coiba_Bahia_Damas	2017-10-11		
EPM_14A1	Mangrove	7.378603	-81.666745	Coiba_Bahia_Damas	2017-10-11		
EPM_14A2	Mangrove	7.374182	-81.665163	Coiba_Santa_Cruz	2017-10-12		
EPM_14A3	Mangrove	7.370749	-81.653954	Coiba_Santa_Cruz	2017-10-12		
EPM_14A4	Mangrove	7.385914	-81.644781	Coiba_Santa_Cruz	2017-10-12		
EPR_10A	Reef	7.95185	-82.011195	Coiba_Santa_Cruz	2017-10-12		
EPR_10B	Reef	7.593778	-81.712814	Coiba_San_Juan	2017-10-13		
EPR_11A	Reef	7.402954	-81.665283	Coiba_San_Juan	2017-10-13		
EPR_11B	Reef	7.401255	-81.662832	Coiba_San_Juan	2017-10-13		
EPR_11C	Reef	7.401817	-81.669556	Coiba_San_Juan	2017-10-13		
EPR_13B	Reef	7.401255	-81.662832	Coiba_Bahia_Damas	2017-10-13		
EPR_13C	Reef	7.401817	-81.669556	Coiba_Bahia_Damas	2017-10-13		
EPR_14B	Reef	7.815128	-81.758922	Coiba_Rio_Grande	2017-10-14		
EPR_14C	Reef	7.815028	-81.759204	Coiba_Rio_Grande	2017-10-14		
EPR_14E	Reef	7.639561	-81.741495	Coiba_Rio_Grande	2017-10-14		
EPR_15A	Rocky outcrop	7.633623	-81.719237	Coiba_Rio_Grande	2017-10-14		
EPR_15B	Reef	7.695942	-81.632929	Uva	2017-10-14		
EPR_8A	Reef	7.695942	-81.632929	Uva	2017-10-14		
EPR_8B	Reef	7.592639	-81.71321	Frijolito	2017-10-15		
EPR_9A	Reef	7.815128	-81.758922	Coiba_Machete	2017-10-14		
EPR_9B	Reef	7.815028	-81.759204	Canal_de_Afuera	2017-10-15		
WAM_ALR	Mangrove	9.295648	-82.346163		2017-11-18	1	4
WAM_CCR	Mangrove	9.27506	-82.130887		2017-11-21	1	4
WAM_IPI	Mangrove	9.234142	-82.344116		2017-11-21	2	4
WAM_MAR	Mangrove	9.334212	-82.247999		2017-11-20	1	3.25
WAM_MYS	Mangrove	9.271099	-82.296867		2017-11-21	1	3.5
WAM_PBL	Mangrove	9.372884	-82.290796		2017-11-22	1	3
WAM_PJN	Mangrove	9.298478	-82.291626		2017-11-18	1	2.25
WAM_PPR	Mangrove	9.23193	-82.121172		2017-11-21	2	3
WAM_PST	Mangrove	9.352443	-82.258881		2017-11-18	1	3.25
WAM_ROL	Mangrove	9.21328	-82.321655		2017-11-20	1	4
WAM_SCR	Mangrove	9.288028	-82.112533		2017-11-20	1	3.25
WAM_SGN	Mangrove	9.346757	-82.257151		2017-11-22	1	4
WAM_SIS	Mangrove	9.269016	-82.35149		2017-11-20	1	4
WAM_TWN	Mangrove	9.339047	-82.248237		2017-11-22	1	1.75
WAR_ALR	Reef	9.290028	-82.342917		2017-11-18	3	4
WAR_CCR	Reef	9.265278	-82.119444		2017-11-21	3	4
WAR_IPI	Reef	9.23466	-82.3455		2017-11-21	2	4
WAR_MAR	Reef	9.33119	-82.24442		2017-11-20	2	4
WAR_MYS	Reef	9.27125	-82.29806		2017-11-21	3	4
WAR_PBL	Reef	9.36665	-82.29124		2017-11-22	4	4
WAR_PJN	Reef	9.298495	-82.292137		2017-11-18	3	4
WAR_PPR	Reef	9.233778	-82.112		2017-11-21	3	4
WAR_PSK	Reef	9.2937	-82.332083		2017-11-22	3	4
WAR_PST	Reef	9.348722	-82.262583		2017-11-18	5	4
WAR_RNW	Reef	9.34193	-82.25997		2017-11-22	4	4
WAR_ROL	Reef	9.21478	-82.32454		2017-11-20	3	4
WAR_SCR	Reef	9.281499	-82.101204		2017-11-20	4	4
WAR_SGL	Reef	9.28924	-82.29572		2017-11-22	2	4
WAR_SIS	Reef	9.26751	-82.35178		2017-11-20	3	4
